id,last_scraped,host_location,neighbourhood_group_cleansed,latitude,longitude,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,review_scores_rating,reviews_per_month
42344644,2020-10-14,ES,Sant Martí,41.39828,2.18776,1.0,4.0,$150.00,t,30,60,90,365,2020-10-14,0,,
42345118,2020-10-15,ES,Ciutat Vella,41.38305,2.18272,1.0,1.0,$21.00,t,20,37,37,37,2020-10-15,12,90.0,1.55
42345498,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.38512,2.16796,1.0,1.0,$53.00,t,30,60,67,67,2020-10-15,4,95.0,0.51
42345557,2020-10-17,"Barcelona, Catalonia, Spain",Eixample,41.39233,2.17024,3.0,4.0,$150.00,t,0,0,0,0,2020-10-17,0,,
42346532,2020-10-15,"Barcelona, Catalonia, Spain",Ciutat Vella,41.378029999999995,2.1917299999999997,1.0,2.0,$26.00,t,0,0,0,6,2020-10-15,1,60.0,0.65
42347245,2020-10-13,"Ibiza, Balearic Islands, Spain",Eixample,41.39298,2.1551400000000003,3.0,4.0,$250.00,t,30,60,90,365,2020-10-13,2,100.0,0.75
42347302,2020-10-15,"Barcelona, Cataluña, Spain",Sant Martí,41.39675,2.20133,1.0,1.0,$30.00,t,16,32,42,42,2020-10-15,0,,
42347934,2020-10-12,ES,Ciutat Vella,41.38756,2.17886,1.0,1.0,$40.00,t,0,0,0,0,2020-10-12,1,100.0,0.15
42348318,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38565,2.15657,1.0,2.0,$136.00,t,29,59,81,207,2020-10-12,0,,
42348725,2020-10-12,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.40405,2.1381,1.0,1.0,$45.00,t,0,0,0,0,2020-10-12,0,,
42349331,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38399999999999,2.15607,1.0,2.0,$136.00,t,11,41,71,220,2020-10-12,0,,
42349374,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38422,2.15501,1.0,2.0,$136.00,t,11,41,63,189,2020-10-12,0,,
42349528,2020-10-15,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.36238,2.1358599999999996,1.0,0.0,$50.00,t,27,57,87,88,2020-10-15,0,,
42349609,2020-10-13,ES,Ciutat Vella,41.38776,2.17876,1.0,1.0,$35.00,t,30,60,90,365,2020-10-13,0,,
42349746,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38459,2.15531,1.0,1.0,$136.00,t,0,0,0,123,2020-10-12,0,,
42349831,2020-10-15,ES,Ciutat Vella,41.37785,2.1677299999999997,1.0,2.0,$16.00,t,18,48,78,353,2020-10-15,11,93.0,1.43
42349882,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38527,2.15576,1.0,1.0,$136.00,t,0,0,0,127,2020-10-12,0,,
42350049,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38435,2.156,2.0,3.0,$136.00,t,29,59,81,207,2020-10-12,0,,
42350274,2020-10-16,"Barcelona, Catalonia, Spain",Eixample,41.38439,2.1552599999999997,2.0,3.0,$136.00,t,0,0,0,54,2020-10-16,0,,
42350420,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.384679999999996,2.15476,2.0,3.0,$136.00,t,29,59,89,346,2020-10-12,0,,
42350519,2020-10-13,ES,Ciutat Vella,41.37855,2.16837,1.0,1.0,$11.00,t,3,16,46,321,2020-10-13,4,90.0,0.51
42350538,2020-10-12,"Barcelona, Catalonia, Spain",Eixample,41.38404,2.1564400000000004,2.0,3.0,$136.00,t,0,0,0,127,2020-10-12,0,,
42350651,2020-10-15,"Barcelona, Catalonia, Spain",Eixample,41.3853,2.15634,2.0,3.0,$136.00,t,0,0,0,108,2020-10-15,0,,
42350931,2020-10-12,"Barcelona, Catalonia, Spain",Gràcia,41.40515,2.16888,1.0,2.0,$42.00,t,30,60,90,90,2020-10-12,5,100.0,0.65
42352162,2020-10-15,ES,Ciutat Vella,41.3819,2.1682200000000003,1.0,1.0,$12.00,t,14,44,74,349,2020-10-15,11,91.0,1.41
42352873,2020-10-14,ES,Sant Martí,41.3931,2.19746,1.0,2.0,$60.00,t,30,60,90,365,2020-10-14,1,,0.14
42355295,2020-10-13,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37236,2.1568099999999997,2.0,4.0,$65.00,t,0,0,1,258,2020-10-13,2,90.0,0.63
42357136,2020-10-15,ES,Ciutat Vella,41.37995,2.1753299999999998,1.0,2.0,$57.00,t,26,56,86,176,2020-10-15,5,84.0,1.46
42358424,2020-10-16,ES,Ciutat Vella,41.38278,2.18044,1.0,1.0,$20.00,t,0,0,0,0,2020-10-16,20,93.0,2.58
42358925,2020-10-13,ES,Ciutat Vella,41.381029999999996,2.16879,2.0,0.0,$40.00,t,25,43,43,101,2020-10-13,2,90.0,0.64
42360088,2020-10-12,ES,Ciutat Vella,41.38037,2.16761,1.0,1.0,$10.00,t,11,41,71,346,2020-10-12,6,83.0,0.81
42369117,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.39922,2.17905,3.0,6.0,$50.00,t,22,52,82,357,2020-10-13,2,100.0,0.26
42370879,2020-10-14,ES,Sants-Montjuïc,41.37339,2.16799,1.0,,$26.00,t,28,58,88,88,2020-10-14,0,,
42371697,2020-10-16,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.37223,2.1574,1.0,1.0,$110.00,t,0,0,0,0,2020-10-16,0,,
42371898,2020-10-15,ES,Sarrià-Sant Gervasi,41.396029999999996,2.1369599999999997,2.0,3.0,$154.00,t,30,60,78,82,2020-10-15,6,100.0,1.88
42372889,2020-10-12,ES,Eixample,41.38098,2.16194,1.0,3.0,$11.00,t,29,59,89,323,2020-10-12,4,75.0,0.54
42373718,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.3808,2.15884,1.0,1.0,$57.00,t,16,46,76,246,2020-10-13,7,94.0,0.93
42374131,2020-10-14,ES,Sarrià-Sant Gervasi,41.40594,2.14383,1.0,1.0,$48.00,t,27,57,87,177,2020-10-14,1,100.0,0.19
42374241,2020-10-14,"Barcelona, Catalonia, Spain",Eixample,41.40079,2.18388,2.0,3.0,$135.00,t,30,60,90,90,2020-10-14,0,,
42374401,2020-10-12,"Muñico, Castile and León, Spain",Eixample,41.38315,2.1559,1.0,,$35.00,t,30,60,90,90,2020-10-12,0,,
42374804,2020-10-13,"Barcelona, Catalonia, Spain",Eixample,41.38369,2.1611700000000003,1.0,1.0,$26.00,t,30,60,90,365,2020-10-13,0,,
42375072,2020-10-12,"Barcelona, Catalonia, Spain",Gràcia,41.39948,2.16318,1.0,1.0,$30.00,t,0,0,0,0,2020-10-12,0,,
42376600,2020-10-14,"Barcelona, Catalonia, Spain",Sants-Montjuïc,41.376509999999996,2.1461,1.0,1.0,$39.00,t,30,60,90,365,2020-10-14,0,,
42376889,2020-10-12,ES,Eixample,41.39571,2.17645,1.0,1.0,$33.00,t,0,0,0,0,2020-10-12,0,,
42377083,2020-10-14,"Barcelona, Catalonia, Spain",Sarrià-Sant Gervasi,41.40398,2.14213,2.0,2.0,$169.00,t,30,60,90,90,2020-10-14,1,100.0,0.21
42377218,2020-10-16,ES,Eixample,41.37925,2.16255,1.0,3.0,$13.00,t,17,47,77,307,2020-10-16,6,87.0,0.76
42377978,2020-10-17,"São Paulo, State of São Paulo, Brazil",Eixample,41.39625,2.17087,2.0,5.0,$74.00,t,30,60,90,365,2020-10-17,0,,
42378519,2020-10-14,"Barcelona, Cataluña, Spain",Sarrià-Sant Gervasi,41.40221,2.14678,3.0,6.0,$129.00,t,30,60,90,365,2020-10-14,0,,
